Business Id,Name,Address,City,Postal Code,State,Latitude,Longitude,Review Count,Stars,Categories,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Alcohol,Ambience,Bike Parking,Business Accepts Credit Cards,Business Parking,Dietary Restrictions,Dogs Allowed,Drive Thru,Good For Kids,Good For Meal,Happy Hour,Has TV,Music,Noise Level,Outdoor Seating,Restaurants Attire,Restaurants Delivery,Restaurants Good For Groups,Restaurants Reservations,Restaurants Table Service,Restaurants Take Out,RestaurantsPriceRange2,Smoking,Wheelchair Accessible,Wi Fi
eCnHSfwrco1Vs3m-iRcavw,Timber's Roadhouse,10 Winchester Canyon Rd,Goleta,93117,CA,34.43307195,-119.8995492,30,4,"Restaurants, American (Traditional), Barbeque, Steakhouses, Sandwiches",,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,u'full_bar',"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None}",,,"{u'valet': False, u'garage': False, u'street': True, u'lot': None, u'validated': False}",,,TRUE,,,,TRUE,,u'average',TRUE,u'casual',FALSE,TRUE,TRUE,TRUE,TRUE,,,,
304FY8qhcOpm9SIkrzmhoQ,Reunion Kitchen + Drink,1118 E Cabrillo Blvd,Santa Barbara,93103,CA,34.4170185,-119.6689747,61,4.5,"American (New), Restaurants, Salad, Burgers",0:0-0:0,11:0-18:0,11:0-21:0,11:0-21:0,11:0-20:0,11:0-21:0,11:0-21:0,u'full_bar',"{u'divey': False, u'hipster': None, u'casual': None, u'touristy': True, u'trendy': True, u'intimate': True, u'romantic': None, u'classy': None, u'upscale': True}",,,"{u'valet': False, u'garage': False, u'street': None, u'lot': None, u'validated': False}",,TRUE,,,,,,,u'average',TRUE,,FALSE,TRUE,TRUE,TRUE,FALSE,2,,,u'free'
7oPREWTlY8RIMfwT1R0YYw,SALTY at the Beach,"113 Harbor Way, Ste 180",Santa Barbara,93109,CA,34.40400371,-119.6938017,70,4,"Nightlife, Bars, Gastropubs, Restaurants, American (New)",11:30-20:0,,,11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,u'full_bar',,,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,FALSE,,,TRUE,,,,,
c3UA1gYc6VY7dEyS0135pQ,Tondi Gelato,401 Paseo Nuevo,Santa Barbara,93101,CA,34.41886672,-119.6986803,103,5,"Food, Desserts, Gelato, Caterers, Event Planning & Services, Ice Cream & Frozen Yogurt",12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-21:0,12:0-21:0,12:0-20:0,,,TRUE,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,,,,FALSE,,,,,,FALSE,,,,FALSE,2,,TRUE,u'no'
3DSgJFIaXjdknbZn3LSnPQ,Dart Coffee Co,121 E Yanonali St,Santa Barbara,93101,CA,34.4158054,-119.689906,123,4.5,"Food, Coffee Roasteries, Coffee & Tea",7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-17:0,7:0-17:0,7:0-16:0,,,TRUE,TRUE,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,,,TRUE,,,,,u'average',,,FALSE,,,,None,2,,TRUE,
Q54wPRfbmO8egJeVTmSkYQ,Che Argentinian Empanadas,"4191 Carpinteria Ave, Unit 5",Carpinteria,93013,CA,34.4037868,-119.5339549,17,5,"Latin American, Restaurants, Argentine, Empanadas, Food",,,,16:0-20:0,16:0-21:0,12:0-20:30,12:0-19:0,u'none',,TRUE,TRUE,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,TRUE,,,,,,,,,,FALSE,,,,TRUE,,,TRUE,
BEzvmorW8ILha6tcSxBBwA,Valentino's Take N Bake Pizza,4421 Hollister Ave,Santa Barbara,93110,CA,34.439746,-119.770649,69,4.5,"Salad, Sandwiches, Restaurants, Pizza",0:0-0:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,,u'none',"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}",TRUE,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,TRUE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,FALSE,,u'quiet',FALSE,u'casual',FALSE,TRUE,FALSE,FALSE,TRUE,2,,TRUE,u'no'
zVwnTKz7JIOoN-MbbQMzYA,Eat This Shoot That!,200 Stearns Wharf,Santa Barbara,93101,CA,34.409215,-119.685157,80,5,"Wine Tours, Food Tours, Tours, Restaurants, Food, Arts & Entertainment, Hotels & Travel, Walking Tours",10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,,,,TRUE,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,u'quiet',,,FALSE,,TRUE,,,,,,
FDTwPQ4CNWEOY0rfh4eTzQ,ParadICE Hawaiian Shave Ice & Ice Cream,"11 W De La Guerra St, Unit A, Paseo Nuevo Mall",Santa Barbara,93101,CA,34.41919864,-119.6996242,192,5,"Food, Caterers, Event Planning & Services, Ice Cream & Frozen Yogurt, Shaved Ice, Desserts",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,13:0-18:0,13:0-18:0,,,,TRUE,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,,,,,u'quiet',,,FALSE,,,,TRUE,1,,TRUE,
iN4IiUjkMZJxTYELmeGbPQ,SB Handyman,,Santa Barbara,93105,CA,34.53229314,-119.7996863,13,5,"Pressure Washers, Plumbing, Furniture Assembly, Drywall Installation & Repair, Handyman, Home Services, Flooring, Painters",8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,9:0-18:0,,,,,TRUE,,,,,,,,,,,,,FALSE,,,,,,,,
